Modelo;Cam_X_Robot;Cam_Y_Robot;Cam_Z_Robot;Robot_Pred_X;Robot_Pred_Y;Robot_Pred_Z;Robot_Real_X;Robot_Real_Y;Robot_Real_Z;Tiempo_Ms
LINEAL;0.26213045934599066;0.10045414173366982;1.255856964757522;-0.2541989594178784;-0.6631735522983383;-0.12786052435471784;-0.3120860651682841;-0.6352453433596031;-0.13004132947765162;0.014999999621068127
LINEAL;0.27130436006300995;0.10232465803085158;1.2791663412376344;-0.26105909209087336;-0.6514813154321667;-0.12640946705439185;-0.31444305730179073;-0.6270351644551139;-0.13007619037940055;0.014700000974698924
LINEAL;0.2720576136409125;0.10169479393455025;1.2712497936930718;-0.26162236606126127;-0.6554523418185786;-0.12689808556925233;-0.316416039654731;-0.619790216571134;-0.12991865079895265;0.015100000382517464
LINEAL;0.2788780439088342;0.10306904935137984;1.2884020385989643;-0.26672260182444657;-0.6468485891443109;-0.12583200378311254;-0.31814942153278425;-0.6119882625977863;-0.1300591812980392;0.014299999747890979
LINEAL;0.2781518239144086;0.1021414287268672;1.2767912121098697;-0.2661795432428011;-0.6526727060458651;-0.12655160760648476;-0.3197431966200856;-0.604506286500193;-0.1300722212231138;0.013900000340072438
LINEAL;0.284151961341803;0.10252833459233446;1.291726889649043;-0.270666373880914;-0.6451808076806829;-0.12625146449547786;-0.3211241233542092;-0.5971748543260847;-0.1299576180674309;0.014400000509340316
LINEAL;0.28856073943267513;0.10356917374605037;1.300688296172547;-0.27396320513755346;-0.6406856686615735;-0.12544403113884786;-0.32234266611872886;-0.5893878264741176;-0.13003647867709411;0.013900000340072438
LINEAL;0.2946564409941236;0.10430150332287133;1.3177462992507187;-0.2785214974862967;-0.6321291887135133;-0.12487592479286641;-0.32348691906913657;-0.5818240743176605;-0.1300911281327267;0.014700000974698924
LINEAL;0.2956721228585031;0.10382437934993693;1.3162999419335524;-0.27928101217455487;-0.6328546972812717;-0.12524605480730688;-0.32464051262230836;-0.5744313318422609;-0.1299823947676188;0.01449999945180025
LINEAL;0.2997499376981545;0.10445462668520328;1.327113286707322;-0.2823303530905753;-0.6274306058853323;-0.12475713899394181;-0.32607822077286575;-0.5639778797473434;-0.1300320818281403;0.014799999917158857
LINEAL;0.30219662660194535;0.10483277508636307;1.3336012935715837;-0.2841599576401876;-0.6241761510477686;-0.12446378950592278;-0.3272058500819678;-0.555280811525233;-0.1300763373962725;0.01469999915570952
LINEAL;0.304491306592754;0.10505966412705894;1.3374940976901408;-0.2858758917520327;-0.6222234781452304;-0.12428777981311137;-0.32830090336111506;-0.5467237212499301;-0.13002650301370247;0.015499999790336005
LINEAL;0.30586811458723917;0.10519579755147648;1.339829780161275;-0.2869054522191399;-0.6210518744037075;-0.12418217399742451;-0.32932648591532454;-0.5388524297365804;-0.13001614356580832;0.015000001440057531
LINEAL;0.3103390477888308;0.10623565940329156;1.3534433105882098;-0.2902487623203835;-0.6142231794159904;-0.12337549878498173;-0.3303882354917158;-0.5303362354397123;-0.12999175864491108;0.01590000101714395
